,Resenha,Rating,Resenha Modificada
0,"Não vou mentir: foi difícil
Eu comecei a ler livros de fato em março de 2019 e ainda me considero um novo leitor, e como nunca li a Saga do Anel, decidi começar pelo Hobbit, que adorei e agora prossegui para a trilogia principal. Já tinha ouvido antes que o Tolkien era meio prolixo e a verdade é que é MUITO. Culpo um pouco meu déficit de atenção, mas vezes e vezes me perdi em descrição de barrancos enquanto esperava a história andar. No fim, é boa e instigante, mas até a metade desse primeiro livro, o interesse em continuar quase se foi. Espero que a história não se enrole tanto nos próximos, mas vou dar um tempo maior entre eles e colocar outras leituras em dia na frente.",4,vou ment difícil comec ler livr fat març aind consider nov leit nunc li sag anel decid começ hobbit ador agor prossegu trilog princip ouv ant tolkien mei prolix verdad culp pouc déficit atenç vez vez perd descr barranc enquant esper histór and fim boa instig metad dess prim livr inter continu quas esper histór enrol tant próx vou dar temp mai coloc outr leit dia frent
1,"Leitura cativante e complexa!
Não sei nem o que dizer deste livro que me cativou. Eu amo todo o universo de Tolkien e O Senhor Dos Anéis é a minha trilogia favorita. É um livro ótimo pra que ama leituras longas, complexas e, sobretudo, emocionante!",5,leit cativ complex sei diz dest livr cativ amo tod univers tolkien senh anel trilog favorit livr ótim pra ama leit long complex sobretud emocion
2,"O hobbit 2.0 kkkkkkk
Pra quem gostou de O Hobbit aconselho que dê uma chance para O Senhor dos Anéis, porque eu achei o desenvolvimento da história relativamente parecido. É aquele mesmo esquema de: em cada capítulo tem um acontecimento que vai ser ""resolvido"" no decorrer deste.
Apesar disso, como já é conhecido por muita gente, esse livro é MUITO mais detalhado e sim, fica naquele lenga, lenga meio enrolado em certas partes e isso me fez querer desistir do livro em alguns momentos. Mas tirando esse detalhe é perfeitoooo!!! Cada caminho que é seguido pelos personagens e muito mais rico e até mais emocionante que em O Hobbit.",5,hobbit kkkkkkk pra gost hobbit aconselh dê chanc senh anel porqu ach desenvolv histór relativ parec esquem cad capítul acontec vai resolv decorr dest apes diss conhec muit gent livr detalh sim fic naquel leng leng mei enrol cert part fez quer desist livr algum moment tir detalh perfeitooo cad caminh segu person ric emocion hobbit
3,"Mesmo sendo um fã dos filmes, e tendo adorado ?O Hobbit?, devo admitir que o início desse livro é bem arrastado e exige bastante perseverança. No entanto, depois da metade, a leitura flui muito melhor e o livro mostra porque é considerado uma das maiores obras de fantasia da história.",5,send fã film tend ador hobbit dev admit iníci dess livr bem arrast exig bast perseveranç entant metad leit flu melhor livr mostr porqu consider mai obr fantas histór
4,"A Sociedade do Anel - J. R. R. Tolkien
A Sociedade do Anel é o primeiro livro da trilogia ?O senhor dos anéis?.
A história contada neste livro começa no Condado, uma vila de hobbits, onde temos o primeiro contato com o portador do anel, também visto como o principal herói da história, Frodo Bolseiro.
O fabuloso anel mágico que possui o poder de tornar o portador invisível foi dado a Frodo como herança do seu tio, Bilbo Bolseiro. Só mais tarde Frodo descobre, pelo poderoso e sábio mago, Gandalf, o cinzento -amigo fiel que desempenha um papel muito importante na história- a origem do anel e que o mesmo pertence ao um lorde maléfico, Sauron, que perdeu há muito tempo. Sauron sabe que o anel foi encontrado e de imediato envia seus terríveis servos, os espectros do anel, para recuperá-lo.
Frodo tendo conhecimento sobre os fatos, parte em uma longa jornada em busca de um conselho de sábios que poderá saber o que fazer com o anel. É neste conselho que Frodo se voluntaria para ser o portador do anel, tornando-o responsável pela destruição do anel; com esta decisão o conselho forma uma comitiva para acompanhar Frodo nesta nova aventura, comitiva que fica conhecida como A Sociedade do Anel.
A Sociedade do Anel é formada por: quatro hobbits (Frodo, Sam, Merry e Pippin), um elfo (Legolas), dois homens (Aragorn e Boromir), um anão (Gimli) e um mago (Gandalf).
Este livro é incrivelmente mágico e cheio de detalhes. Entretanto, a escrita é bastante rebuscada, por esse motivo acho de extrema importância um dicionário como companheiro.",0,sociedad anel tolkien sociedad anel prim livr trilog senh anel histór cont nest livr começ cond vil hobbit ond prim contat port anel vist princip heró histór frod bols fabul anel mágic possu pod torn port invis dad frod heranç tio bilb bols tard frod descobr poder sábi mag gandalf cinzent fiel desempenh papel import orig anel pertenc lord maléf sauron perd temp sauron sab anel encontr imediat env terr serv espectr anel frod tend conhec sobr fat part long jorn busc conselh sábi pod sab faz anel nest conselh frod volunt port anel respons destru anel decis conselh form comi acompanh frod nest nov avent comi fic conhec sociedad anel sociedad anel form quatr hobbit frod sam merry pippin elf legol doi hom aragorn borom anã giml mag gandalf livr incri mágic chei detalh entretant escrit bast rebusc motiv ach extrem import dicion companh
5,"Top
Só vou resenhar por causa do desafio.
Infelizmente tem mínimo de linhas",5,top vou resenh caus desafi infeliz mín linh
6,"Genialmente brilhante !!
Um dos livros mais lindos que já vi !! E não me refiro apenas a fantástico edição da Harper Collins Brasil,que vem vem capa preta, com anéis dourados na capa, runas escritas em alto relevo, páginas amareladas e finas como de uma bíblia, sem falar das gravuras e escritas elficas. Mas me refiro ao texto, que me fez querer economizar as páginas para que nunca chegasse ao fim do livro, mesmo eu já tendo assistido aos filmes por dezenas de vezes, em momento algum me senti entediado com a repetição da estória. O livro é grandioso tanto quanto sua fama, com muitos personagens mais todos bem postados, com muitas ambientações mas nunca estamos perdidos. Carregarei esse livro (que na verdade é um box) comigo com muito carinho, contarei eles aos meus filhos, indicarei sua leitura a todos meus amigos, farei todos se apaixonarem por ele com ome apaixonei. Só um ponto negativo a se notar (exclusivo dessa edição), algumas traduções parecem estranhas ou equivocadas, como ""orques"", e nome dados a alguns personagens que diferem do usual, e até mesmo alguns poemas/músicas que soam diferente do já conhecido. Mas nada de muito dramático com isso, já que e no início do livro ele trás todas as informações sobre tais traduções e no final, trás todos os versos originais escritos pelo Tolkien (em inglês).

-Nem todos os que vageam estão perdidos. (poema a Aragorn)",5,gen brilh livr lind vi refir apen fant ediç harp collim brasil vem vem cap pret anel dour cap run escrit alt relev págin amarel fin bíbl fal grav escrit elfic refir text fez quer econom págin nunc cheg fim livr tend assist film dezen vez moment algum sent entedi repet estóri livr grandi tant quant fam muit person tod bem post muit ambient nunc perd carreg livr verdad box comig car cont filh indic leit tod amig far tod apaixon ome apaixon pont nega not exclus dess ediç algum traduç parec estranh equivoc orqu nom dad algum person dif usual algum so difer conhec nad dramá iníci livr trá tod inform sobr tal traduç final trá tod vers orig escrit tolkien ingl tod vage perd poem aragorn
7,"Aventura do Hobbit
História do inicio da aventura do pequeno hobbit Frodo Bolseiro pelas terras médias para destruir um poderoso anel, criado pelo ser das trevas Sauron para tomar o mundo, com a ajuda dos amigos do Condado e dos que faz em sua jornada.

Assim é formada por três hobbits, Sam, Merry e Pppin, um anão, Gimli, um elfo, Legolas, dois humanos, Boromir e Aragorn e um mago, Gandalf, a sociedade do anel, para acompanhar e proteger Frodo até ele chegar na montanha de perdição e destruir o Um Anel.

Muitas coisa acontecem ao logo do caminho, mas será que Frodo conseguirá chegar a Mordor e destruir o anel para salvar toda o mundo e todos os seus amigos.",5,avent hobbit histór inici avent pequen hobbit frod bols terr méd destru poder anel cri trev sauron tom mund ajud amig cond faz jorn assim form trê hobbit sam merry pppin anã giml elf legol doi human borom aragorn mag gandalf sociedad anel acompanh proteg frod cheg montanh perd destru anel muit cois acontec log caminh frod conseguir cheg mord destru anel salv tod mund tod amig
8,"O início do épico
Logo depois de O Hobbit, fui sedento em busca de mais coisa do Tolkien e cheguei aqui. Não senti a leitura complicada por motivos de hype na época, mas hoje reconheço que a leitura pode se tornar cansativa, ainda que eu ache que vale super a pena dar uma chance para esse épico.",5,iníci épic log hobbit sedent busc cois tolkien cheg aqu sent leit complic motiv hyp époc hoj reconheç leit pod torn cans aind ach val sup pen dar chanc épic
9,"O universo mais bem detalhado e rico em detalhes que eu já tive o prazer de ler. Não tenho palavras suficientes para explicar a excelência do Tolkien. Uma história que desde o começo já se mostra complexa e bem entrelaçada com passado, distintos presentes e um único futuro e sina: o Um Anel.",5,univers bem detalh ric detalh praz ler palavr sufici explic excel tolkien histór desd começ mostr complex bem entrelaç pass distint pres únic futur sin anel
